"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"JKDPDCFA_00001",0.0562572355546285,1.63164933550914,4.5569598308423,0.358056554386512,0.720300991030097,NA
"JKDPDCFA_00002",0,NA,NA,NA,NA,NA
"JKDPDCFA_00003",0,NA,NA,NA,NA,NA
"JKDPDCFA_00004",0,NA,NA,NA,NA,NA
"JKDPDCFA_00005",0,NA,NA,NA,NA,NA
"JKDPDCFA_00006",0,NA,NA,NA,NA,NA
"JKDPDCFA_00007",0,NA,NA,NA,NA,NA
"JKDPDCFA_00008",2.0248163650338,-0.735190567334636,1.67155406622342,-0.439824581322498,0.660064162668107,0.817004776728097
"JKDPDCFA_00009",0,NA,NA,NA,NA,NA
"JKDPDCFA_00010",0,NA,NA,NA,NA,NA
"JKDPDCFA_00011",0,NA,NA,NA,NA,NA
"JKDPDCFA_00012",0,NA,NA,NA,NA,NA
"JKDPDCFA_00013",0,NA,NA,NA,NA,NA
"JKDPDCFA_00014",0,NA,NA,NA,NA,NA
"JKDPDCFA_00015",0,NA,NA,NA,NA,NA
"JKDPDCFA_00016",0,NA,NA,NA,NA,NA
"JKDPDCFA_00017",0,NA,NA,NA,NA,NA
"JKDPDCFA_00018",1.51241863501044,-1.46469318099027,1.9638629970337,-0.745822485174684,0.45577465521698,0.661599847341054
"JKDPDCFA_00019",0,NA,NA,NA,NA,NA
"JKDPDCFA_00020",55.9777910003639,-1.04728887077602,0.488127642224402,-2.1455225645561,0.031911089274255,0.102442778900942
"JKDPDCFA_00021",0,NA,NA,NA,NA,NA
"JKDPDCFA_00022",4.86307042707668,-0.263389851418811,1.03044600786304,-0.255607619816038,0.798253834063119,0.891140258802519
"JKDPDCFA_00023",0,NA,NA,NA,NA,NA
"JKDPDCFA_00024",0,NA,NA,NA,NA,NA
"JKDPDCFA_00025",0,NA,NA,NA,NA,NA
"JKDPDCFA_00026",73.2557214941634,0.729024287794321,0.352604919626026,2.06753861678257,0.0386834293154187,0.118559739297195
"JKDPDCFA_00027",100.208399567116,2.10057117846882,0.414488727536417,5.06786081000059,4.02311411452679e-07,6.45761393767634e-06
"JKDPDCFA_00028",116.999001899182,2.91099259645642,0.42466868139865,6.85473811459098,7.14432777359298e-12,2.18163374939961e-10
"JKDPDCFA_00029",503.282030494694,2.24558570502683,0.639601678334099,3.51091277758318,0.000446570897309241,0.00320405022023593
"JKDPDCFA_00030",225.823308855433,1.70744464075796,0.302715186901241,5.64043270585895,1.69623352805842e-08,3.42529738246635e-07
"JKDPDCFA_00031",126.164659337904,0.860894919605377,0.301417490963799,2.85615448809098,0.00428806432205398,0.0212620060642043
"JKDPDCFA_00032",25.4054061306989,0.746088865311256,0.497087923021838,1.50091931579371,0.133376431544308,0.303889521917149
"JKDPDCFA_00034",311.756728298665,0.454071833249053,0.214803642479501,2.11389261377346,0.034524440243197,0.109015382558594
"JKDPDCFA_00035",215.505127706403,-0.612311164743806,0.275005906241357,-2.22653823371494,0.0259781509653032,0.0879044459690799
"JKDPDCFA_00037",152.27087015582,1.27634685245767,0.240438121173812,5.30842133612834,1.1057879003951e-07,2.02108970991922e-06
"JKDPDCFA_00038",43.1440984162155,0.460592402825775,0.413294947046099,1.11443995654368,0.265090489846238,0.477544306888475
"JKDPDCFA_00039",982.163345436342,0.85728225495871,0.203249535651152,4.21788050935629,2.46609437424164e-05,0.000275674121120583
"JKDPDCFA_00040",398.95433963852,0.82020280196133,0.205336690969017,3.9944288480089,6.48503921393067e-05,0.000635468211946906
"JKDPDCFA_00041",1837.28777677834,0.61841182466914,0.153610226235529,4.02585062091462,5.67697208354715e-05,0.000565459659394996
"JKDPDCFA_00042",2845.84392383336,0.51504428022605,0.169643248925207,3.03604348236177,0.00239704793184866,0.0132499073318964
